A0,ID,t
0.393331,8,0.0
0.324291,8,1.0
0.314577,8,3.0
0.324291,8,5.0
0.335384,8,7.0
0.253872,8,10.0
0.324291,8,14.0
0.287054,27,0.0
0.347342,27,1.0
0.287054,27,3.0
0.297821,27,5.0
0.279417,27,7.0
0.287054,27,10.0
0.223636,27,14.0
0.423622,30,0.0
0.33460225,30,1.0
0.378588,30,3.0
0.33460225,30,5.0
0.33460225,30,7.0
0.267946,30,10.0
0.268253,30,14.0
0.366136,31,0.0
0.21357350000000003,31,1.0
0.21357350000000003,31,3.0
0.21357350000000003,31,5.0
0.186879,31,7.0
0.182803,31,10.0
0.118476,31,14.0
0.218449,32,0.0
0.19086625000000002,32,1.0
0.229287,32,3.0
0.189652,32,5.0
0.19086625000000002,32,7.0
0.19086625000000002,32,10.0
0.126077,32,14.0
0.491341,33,0.0
0.37893699999999997,33,1.0
0.37893699999999997,33,3.0
0.373823,33,5.0
0.37893699999999997,33,7.0
0.403811,33,10.0
0.246773,33,14.0
0.502831,38,0.0
0.4549945,38,1.0
0.4549945,38,3.0
0.453162,38,5.0
0.450968,38,7.0
0.413017,38,10.0
0.4549945,38,14.0
0.412909,43,0.0
0.418833,43,1.0
0.421794,43,3.0
0.39326375,43,5.0
0.39326375,43,7.0
0.39326375,43,10.0
0.319519,43,14.0
0.515715,44,0.0
0.45955375,44,1.0
0.466282,44,3.0
0.452728,44,5.0
0.45955375,44,7.0
0.40349,44,10.0
0.45955375,44,14.0
0.1950935,49,0.0
0.237885,49,1.0
0.222276,49,3.0
0.1950935,49,5.0
0.197849,49,7.0
0.1950935,49,10.0
0.122364,49,14.0
0.455275,50,0.0
0.31448375000000006,50,1.0
0.31448375000000006,50,3.0
0.274519,50,5.0
0.299465,50,7.0
0.228676,50,10.0
0.31448375000000006,50,14.0
0.357902,59,0.0
0.209192775,59,1.0
0.209192775,59,3.0
0.212864,59,5.0
0.1965,59,7.0
0.209192775,59,10.0
0.0695051,59,14.0
0.44502675,61,0.0
0.411121,61,1.0
0.50316,61,3.0
0.44502675,61,5.0
0.429181,61,7.0
0.44502675,61,10.0
0.436645,61,14.0
0.340449,62,0.0
0.497763,62,1.0
0.3199565,62,3.0
0.208374,62,5.0
0.3199565,62,7.0
0.23324,62,10.0
0.3199565,62,14.0
0.44872425,68,0.0
0.47981,68,1.0
0.44872425,68,3.0
0.558248,68,5.0
0.530018,68,7.0
0.226821,68,10.0
0.44872425,68,14.0
0.285546,71,0.0
0.233023,71,1.0
0.193521,71,3.0
0.193521,71,5.0
0.132737,71,7.0
0.193521,71,10.0
0.122778,71,14.0
0.430553,74,0.0
0.26130299999999995,74,1.0
0.26130299999999995,74,3.0
0.281512,74,5.0
0.26130299999999995,74,7.0
0.188332,74,10.0
0.144815,74,14.0
0.485323,78,0.0
0.31646225,78,1.0
0.31646225,78,3.0
0.29772,78,5.0
0.275611,78,7.0
0.31646225,78,10.0
0.207195,78,14.0
0.451009,82,0.0
0.460979,82,1.0
0.31797725,82,3.0
0.31797725,82,5.0
0.31797725,82,7.0
0.23235,82,10.0
0.127571,82,14.0
0.339719,83,0.0
0.374714,83,1.0
0.261811,83,3.0
0.209947,83,5.0
0.339719,83,7.0
0.512404,83,10.0
0.339719,83,14.0
0.304865,86,0.0
0.308946,86,1.0
0.33637174999999997,86,3.0
0.182004,86,5.0
0.33637174999999997,86,7.0
0.549672,86,10.0
0.33637174999999997,86,14.0
0.294276,88,0.0
0.248541,88,1.0
0.279025,88,3.0
0.233544,88,5.0
0.187319,88,7.0
0.248541,88,10.0
0.248541,88,14.0
0.309842,92,0.0
0.14827137499999998,92,1.0
0.14827137499999998,92,3.0
0.131207,92,5.0
0.113277,92,7.0
0.14827137499999998,92,10.0
0.0387595,92,14.0
0.46319,93,0.0
