ID,t,A0,notFoundBySE
8,0.0,0.393331,
8,1.0,0.383854,
8,3.0,0.314577,
8,5.0,0.27331,
8,7.0,0.335384,
8,10.0,0.253872,
8,14.0,0.252786,
27,0.0,0.342869,
27,1.0,0.347342,
27,3.0,0.321164,
27,5.0,0.297821,
27,7.0,0.279417,
27,10.0,0.24348,
27,14.0,0.223636,
30,0.0,0.423622,
30,1.0,0.393671,
30,3.0,0.378588,
30,5.0,0.354091,
30,7.0,0.339846,
30,10.0,0.267946,
30,14.0,0.268253,
31,0.0,0.366136,
31,1.0,0.224613,
31,3.0,0.258643,
31,5.0,0.205191,
31,7.0,0.186879,
31,10.0,0.182803,
31,14.0,0.118476,
32,0.0,0.218449,
32,1.0,0.298451,
32,3.0,0.229287,
32,5.0,0.189652,
32,7.0,0.16976,
32,10.0,0.147367,
32,14.0,0.126077,
33,0.0,0.491341,
33,1.0,0.478434,
33,3.0,0.421374,
33,5.0,0.373823,
33,7.0,0.344252,
33,10.0,0.403811,
33,14.0,0.246773,
38,0.0,0.502831,
38,1.0,0.445753,
38,3.0,0.459393,
38,5.0,0.453162,
38,7.0,0.450968,
38,10.0,0.413017,
38,14.0,0.301829,
43,0.0,0.412909,
43,1.0,0.418833,
43,3.0,0.421794,
43,5.0,0.443365,
43,7.0,0.293863,
43,10.0,0.346279,
43,14.0,0.319519,
44,0.0,0.515715,
44,1.0,0.472833,
44,3.0,0.466282,
44,5.0,0.452728,
44,7.0,0.415333,
44,10.0,0.40349,
44,14.0,0.3047,
49,0.0,0.308191,
49,1.0,0.237885,
49,3.0,0.222276,
49,5.0,0.169161,
49,7.0,0.197849,
49,10.0,0.256112,
49,14.0,0.122364,
50,0.0,0.455275,
50,1.0,0.345586,
50,3.0,0.863602,
50,5.0,0.274519,
50,7.0,0.299465,
50,10.0,0.228676,
50,14.0,0.166088,
59,0.0,0.357902,
59,1.0,0.35047,
59,3.0,0.174945,
59,5.0,0.212864,
59,7.0,0.1965,
59,10.0,0.0846117,
59,14.0,0.0695051,
61,0.0,0.570816,
61,1.0,0.411121,
61,3.0,0.50316,
61,5.0,0.430533,
61,7.0,0.429181,
61,10.0,0.0843124,
61,14.0,0.436645,
62,0.0,0.340449,
